MAV,RMS,ZC,WL,STD,label
277.86,280.2148818317828,4,680,36.251902019066534,hard_flex
256.64,261.1067980731256,9,809,48.090231856375986,hard_flex
332.76,337.3886779368863,4,734,55.69472506440803,hard_flex
646.72,661.0577281902089,5,1621,136.9326900341916,hard_flex
473.3,496.61137723576167,5,1158,150.3661198541746,hard_flex
302.68,306.2678566222711,7,777,46.74203247613437,hard_flex
352.1,357.9543825685055,7,1006,64.4742584292367,hard_flex
298.44,301.0198664540266,5,680,39.32589986255877,hard_flex
236.08,240.64114361430384,3,619,46.63039352182222,hard_flex
181.92,185.12698344649814,11,626,34.30908917473619,hard_flex
283.28,285.86927082147184,6,690,38.38856079615385,hard_flex
559.02,579.1383081786249,3,1563,151.32025508833905,hard_flex
685.1,701.0955854945886,5,1750,148.90604420237614,hard_flex
414.86,420.3431693271582,3,1154,67.67244934240226,hard_flex
302.18,304.48313582200245,9,867,37.37950775491833,hard_flex
269.8,275.186845615847,3,675,54.18265405090451,hard_flex
206.62,207.62942951325567,10,534,20.44885326858208,hard_flex
218.92,221.78494087741845,13,646,35.53299311907175,hard_flex
222.62,226.5211248426954,5,591,41.858757745542334,hard_flex
180.8,182.54413165040393,9,542,25.173795899704917,hard_flex
186.82,188.48676346099214,10,557,25.010949602124267,hard_flex
172.98,174.8294597600759,6,514,25.36256296197212,hard_flex
35.66,42.13620770786095,3,157,22.446033057090506,hard_flex
28.18,28.218788067526926,5,33,1.4790537515587456,hard_flex
29.48,29.50525376945604,9,36,1.2204917041913885,hard_flex
28.36,28.373226816842667,11,27,0.8662563131083085,hard_flex
28.44,28.460498941515414,10,28,1.08,hard_flex
28.66,28.672286270892318,13,28,0.8392854103342915,hard_flex
28.68,28.70121948628664,15,35,1.1034491379306979,hard_flex
33.28,35.3717401324843,3,169,11.983388502422844,hard_flex
33.3,34.64823227814083,11,228,9.571311299921238,hard_flex
29.32,29.340074982862603,12,30,1.085172797300043,hard_flex
29.06,29.075419171527003,14,32,0.9467840302835699,hard_flex
30.1,30.158580868469258,8,47,1.8788294228055935,hard_flex
30.52,30.56795707926848,9,40,1.7116074316267733,hard_flex
31.78,31.815405073643177,14,43,1.5005332385522154,hard_flex
33.88,33.99470547011696,9,88,2.790268804255246,hard_flex
30.96,31.06058595712579,11,44,2.4976789225198663,hard_flex
28.5,28.519116395849295,16,32,1.044030650891055,hard_flex
28.78,28.801736058786457,10,32,1.1187493016757597,hard_flex
29.24,29.252008478051554,16,29,0.8380930735902786,hard_flex
30.44,30.470969790933797,17,48,1.3734627770711516,hard_flex
30.94,30.96094313808932,7,28,1.1385956261992227,hard_flex
81.64,137.3314239349465,4,1695,110.43020601266666,hard_flex
32.66,32.960885910424196,2,60,4.443467114765226,hard_flex
69.32,71.86542979764332,6,317,18.957257185574075,hard_flex
29.6,29.779187362988935,2,39,3.2619012860600183,hard_flex
60.62,75.75130361914573,1,320,45.42549504408289,hard_flex
733.0,759.8315076383711,5,1459,200.1372529041008,hard_flex
924.58,925.0652625625935,2,321,29.95936581438265,hard_flex
911.24,912.5738983775506,5,608,49.32324401334527,hard_flex
607.92,624.9547183596585,1,1152,144.91954181545015,hard_flex
409.54,412.97271096284317,9,1010,53.136130833925044,hard_flex
250.0,253.15039008462935,7,605,39.81356552734256,hard_flex
228.38,231.82213009115415,7,733,39.80044723366811,hard_flex
187.9,190.04015365180067,11,619,28.440288324839464,hard_flex
169.7,171.69280707123406,6,463,26.083136314484882,hard_flex
232.38,235.69238426389597,5,656,39.37557110696936,hard_flex
221.7,225.4435184253475,7,532,40.91320080365261,hard_flex
365.76,408.7106555987989,1,979,182.38427125166248,hard_flex
504.66,532.6926130518425,3,1547,170.5277232592988,hard_flex
383.18,393.0867334316944,1,750,87.69417084390501,hard_flex
701.16,743.1368918308389,1,1161,246.22569809018717,hard_flex
560.84,585.4422601760143,3,1394,167.93193383034685,hard_flex
307.22,311.34485703155593,6,845,50.51229157343784,hard_flex
203.72,206.36598556932776,6,478,32.94057680126443,hard_flex
185.6,186.78308274573476,8,575,20.98952119511067,hard_flex
187.56,189.32744122287187,5,520,25.80942463519867,hard_flex
188.86,190.84417727559833,5,499,27.448140192005724,hard_flex
163.24,164.7376095492465,6,440,22.16263522237372,hard_flex
165.66,166.66787332896524,9,436,18.301486278441978,hard_flex
240.74,247.3988278064389,4,647,57.01256352769975,hard_flex
161.52,163.05913037913578,8,461,22.351053666438187,hard_flex
169.1,170.18783740326452,8,448,19.211715175902437,hard_flex
147.66,148.71966917660893,10,465,17.721862204633013,hard_flex
174.56,176.21861422676096,1,424,24.120663340795584,hard_flex
165.44,166.18447580926446,14,442,15.712619132404374,hard_flex
167.12,170.3270970808814,6,499,32.89719744902291,hard_flex
148.4,151.29692660460753,3,418,29.465233750981852,hard_flex
149.74,150.5939573820942,11,412,16.014755695919934,hard_flex
138.1,138.89254839623325,11,411,14.816544806398015,hard_flex
146.5,149.14161055855607,10,468,27.945840477609543,hard_flex
127.44,133.34571609166903,5,470,39.244444192777145,hard_flex
106.78,108.7278253254428,6,332,20.488328384716993,hard_flex
138.56,141.42178050074182,6,449,28.306296119414846,hard_flex
124.36,126.08409891814273,10,409,20.779566886727935,hard_flex
129.7,132.87369942919477,3,356,28.867455724396635,hard_flex
103.4,105.66342792092257,4,324,21.753160689885963,hard_flex
105.04,105.96810841003061,8,304,13.994227381316913,hard_flex
57.62,60.73565674297101,1,176,19.203010180698232,hard_flex
32.52,32.59815945724544,9,46,2.256014184352572,hard_flex
31.12,31.22627099094607,9,52,2.5740240869113875,hard_flex
30.52,30.714166112723948,7,89,3.4481299279464515,hard_flex
